Тип	CD-проигрыватель
Загрузка диска	фронтальный лоток
ЦАП	24 бит / 192 кГц
Входы	S/PDIF (RCA), USB (2.0) тип В
Выходы:	RCA
Поддерживаемые носители	CD, CD-R, CD-RW
Количество каналов	2
Пульт ДУ	SRC II
Разделение каналов	121 дБ
Коэффициент гармоник	0,0014%
Поддерживаемые форматы:	PCM, MP3, FLAC, и пр.
Цвет	черный
Страна (главный офис)	Германия
Размеры (ШхВхГ)	482 мм x 96 мм x 370 мм
Гарантия	1 год
Вес	15,5 кг
Player ES MK2 - проигрыватель CD высшего класса и ЦАП высокого уровня в одном корпусе, вход USB, совместимый с 24 бит/192 кГц, асинхронный режим приема данных. Проигрыватель CD высшего класса и ЦАП уровня High End в одном корпусе. Прецизионная супердискретизация и повышение разрешения до 24 бит/ 192 кГц. Транспортирующий CD-механизм уровня High End с лотковым загрузчиком и развязкой от вибраций, специально разработанный для аудиоаппаратуры. Лоток загрузчика с антивибрационным демпфированием сделан из многослойного материала (алюминий и ударопрочный полистирол), металлические направляющие. Встроенный ЦАП с цифровыми входами: 1 коаксиальный RCA и 1 USB 2.0 (24 бита/192 кГц, асинхронный прием данных). Воспроизведение разных аудиофайлов (WAV, FLAC, ALAC и др.) в качестве устройства USB-Audio от ПК или ноутбука без дополнительных настроек (Plug'n'Play). Драйверы для Windowsи Mac OS X прилагаются. Четыре раздельных стабилизированных источника электропитания для серво-привода лазерной головки, схемы цифровой обработки аудиосигнала, дисплея и блока ЦАП. Огромная энергоемкость блока электропитания (суммарно более 70 000 мкФ в сглаживающих фильтрах). Физическое разделение цифровой и аналоговой части схемы внутри ЦАПа для улучшения отношения сигнал/шум. Массивный металлический корпус с задемпфированными резонансами. Передняя панель из алюминия абразивной обработки; массивная хромированная крышка лотка из латуни. Системный пульт ДУ ACCUSTIC ARTS. ACCUSTIC ARTS PLAYER ES MK2 произведен в Германии.
