Тип	настенная акустика
Частотный диапазон	40-20000 Гц
Рекомендуемая мощность усилителя	300-1500 Вт
Динамик ВЧ	3*25 мм
Динамик НЧ	3*255 мм
Страна	Австрия
Сопротивление	8 Ом
Количество полос	2
Материал НЧ-излучателя	бумага
Размеры (ШхВхГ)	2025*940*205 мм
Дополнительная информация	Модульная система для установки в нишу за экраном. 3 АС - левый, центр, правый каналы + 2 согласованных сабвуфера. Каждая АС содержит: - 1 х 26мм (1'') высокочастотный драйвер и патентованный рупор Krix - 1 х 250мм (10'') кастомизированный басовый драйвер Krix - Акустическая обработка лицевой части Каждый сабвуфер содержит: - 1 х 305мм (12'') басовый драйвер с 2'' звуковой катушкой - Акустическая обработка лицевой части
Материал ВЧ-излучателя	ткань
Разработанная для персональных кинозалов с акустически прозрачным экраном, MX-10 воспроизводит звуковые дорожки из ваших любимых фильмов с высочайшим разрешением и точностью, напрямую через экран к вашему креслу. Большие басовые драйверы и компрессионные высокочастотные драйверы обеспечивают расширенный частотный отклик на высоких уровнях звукового давления.Обладая компонентами из коммерческого кинотеатра, MX-10 обеспечивает четкий, чистый, реалистичный звук с такой мощностью, что она заставит встать ваши волосы дыбом.MX-10 создана для небольших домашних кинотеатров длиной от до 6 метров и состоит из 5 модулей, каждый их которых имеет одинаковую высоту и «неглубокий дизайн» для простой установки в одну нишу.Главные колонки (L/C/R) оснащены 255мм басовым драйвером с 50мм звуковой катушкой, разработанной для обеспечения низких гармонических искажений, особенно критических в средней полосе.Высокочастотный драйвер представляет собой демпфированный, высокомощный 26мм купольный тканевый твитер совместно с фирменным рупором Krix для оптимальной дисперсии во всем диапазоне рабочих частот.Каждый сабвуфер 305мм бумажным драйвером с 50мм звуковой катушкой.
