Тип	напольная акустика
Частотный диапазон	25 - 45000 Гц
Рекомендуемая мощность усилителя	280 Вт
Частота кроссовера	400 Гц / 3 кГц
Чувствительность	91 дБ
Сопротивление	4 Ом
Количество полос	3
Количество динамиков	4
Страна (главный офис)	Дания
Размеры (ШхВхГ)	210 мм x 1057 мм x 270 мм
Гарантия	1 год
Вес	22,9 кг
Серия QR для Audiovector — начальный уровень, а новая модель QR5 в ней самая старшая. И выглядят эти колонки посолиднее многих топовых проектов других производителей. Изготовлены системы в Дании на фабрике Nordhavn, хотя корпуса делаются под заказ другими компаниями. Отделка безукоризненная: шпон рельефный, даже под ярким светом фотософитов невозможно обнаружить никаких дефектов – стыки корпусов идеальны, грани абсолютно плоские. Такой работе позавидует и опытный краснодеревщик. Эта трёхполосная модель – новый флагман и самая крупная модель серии QR. А кроме того, её можно считать квинтэссенцией самых современных решений в области электроакустики.
