Класс устройства	стационарный
Тип устройства	3 x LCD
Операционная система	Технология 3LCD, жидкокристаллический затвор RGB
Рекомендуемая область применения	для домашнего кинотеатра
Тип лампы	Laser
Проекционное расстояние	Wide / Tele 3 м - 6,4 м (экран 100 дюймов)
Размеры по диагонали	50 дюймов - 300 дюймов
Отношение расстояния к размеру изображения	1,35 - 2,84: 1
Световой поток	2700 люмен
Коррекция трапецеидальных искажений	Ручная по вертикали: ± 30 °, ручная по горизонтали ± 30 °
Контрастность	2,500,000: 1
Коммуникации	USB 1.1 тип A (2x), USB 2.0 тип Mini-B, RS-232C, интерфейс Ethernet (100 Base-TX / 10 Base-T), триггерный выход, HDMI ARC, HDMI (HDCP 2.3) (2x)
Сдвиг объектива	10 позиций по вертикали ± 96,3%, по горизонтали ± 47,1%
Потребляемая мощность	302 Вт, 198 Вт (в экономичном режиме), 0,4 Вт (в режиме ожидания)
Соотношение сторон изображения	16:9,16:10, 4:3
Пульт д/у	в комплекте
Цвет	Черный
Размеры (ШxВxГ)	520 x 193 x 447 мм
Вес	12,7 кг
Дополнительная информация	Цветовые режимы 2D: динамический, естественный, кино, яркий кино, яркий Другие функции: улучшение 4K, отключение A / V, цифровой зум, интерполяция кадров, коррекция трапецеидальных искажений по горизонтали и вертикали, мгновенное включение / выключение, память положения объектива, длительный срок службы источника света, суперразрешение
Разрешение поддерживаемое	VGA(640x480) SVGA(800x600) XGA(1024x768) SXGA1(1152x864) SXGA2(1280x960) SXGA3(1280x1024) WXGA (1280x800) WXGA1(1280x768) WXGA2(1360x768) WXGA++ (1600x900) 480i (720x480) 576i (720x576) 480p (720x480) 576p (720x576) 720p (1280x720) 1080i (1920x1080) 1080p (1920x1080) 4K x 2K 30 Hz (3840x2160) 4K x 2K 25 Hz (3840x2160) 4K x 2K 24 Hz (3840x2160) 4K x 2K 50 Hz (3840x2160) 4K x 2K 60 Hz (3840x2160) 4K x 2K 24 Hz (4096x2160) 4K x 2K 50 Hz (4096x2160) 4K x 2K 60 Hz (4096x2160)
Любители кино оценят впечатляющее качество изображения на большом экране, создаваемое с помощью этого мощного проектора. Комбинация передовых технологий обеспечивает исключительное качество картинки с высоким динамическим коэффициентом контрастности 2 500 000:1, разрешением 4K (8,3 мил пикселей), 3LCD, лазерным источником света и поддержкой HDR10+. Благодаря механическому зуму и сдвигу объектива проектор можно разместить практически в любой точке комнаты.Получите еще больше впечатлений от домашнего кинотеатра с помощью этого проектора с разрешением 4K. Технология 3LCD от Epson позволяет избежать «эффекта радуги» и наслаждаться яркими цветами благодаря одинаково высокой яркости белого и цветовой яркости – 2700 люмен. Поддержка HDR10+ обеспечивает дополнительную детализацию и глубину, обеспечивая естественные, но более насыщенные цвета. Вы увидите невероятно четкие детали в тенях с высоким коэффициентом контрастности 2 5000000:1, обеспечивающим глубокий черный цвет. Благодаря интерполяции кадров и сверхвысокому разрешению 4K, адаптивной гамма-коррекции / автоматическому повышению контрастности сцены вы получите первоклассный кинотеатр у себя дома.Долговечный лазерный источник света обеспечивает меньшее потребление энергии, вы сможете наслаждаться домашними развлечениями до 10 лет перед тем, как появится необходимость в его замене.Мы не думаем, что домашний проектор в использовании должен быть сложнее, чем телевизор. Процесс установки EH-LS12000B прост благодаря моторизованной оптике, в том числе оптическому зуму 2,1x, фокусу и механическому сдвигу объектива на ± 96,3% по вертикали и ± 47,1% по горизонтали.Вы можете сохранить на проекторе до 10 комбинаций настроек, для просмотра кино в разных форматах и условиях. EH-LS12000B также совместим с программной калибровкой Calman.
