Тип	ЖК-телевизор, QLED
Диагональ	88 дюймов (223,52 см)
Формат экрана	16:9
Разрешение	7680x4320
Разрешение HD	8K UHD
Стандарт HDR	Dolby Vision, HDR 10 Pro
Работает в системе "умный дом"	LG Smart ThinQ
Частота обновления	120 Гц
Доступ в интернет (Smart TV)	есть
Автоматическое выравнивание громкости (AVL)	есть
Год создания модели	2022
Угол обзора	178°
Поддержка стереозвука NICAM	есть
Телетекст	Телетекст на русском языке (TTXT)
Мощность звука	80 Вт
Сабвуфер	есть
Объемное звучание	есть
Декодер Dolby Digital	Dolby Digital, Dolby Atmos
Поддержка Wi-Fi	есть
Поддержка DLNA	есть
Поддержка телевизионных стандартов	PAL, SECAM
Слот для CI/PCMCIA	есть
Особенности	Функция Виртуальная реальность (360 VR), Технология речевого ввода текста,Функция Miracast (с мобильного на TV), Магазин приложений,Пульт Magic Remote в комплекте (для LG)
Управление	Управление ТВ с помощью смартфона
Антибликовое покрытие	есть
Датчик освещенности	есть
Поддержка AirPlay	есть
Bluetooth адаптер	есть,Bluetooth Low Energy (Экономичный Bluetooth)
Возможность крепления на стену	нет (доп. опция)
Размеры без подставки (ШxВxГ)	1960x1120x420 мм
Размеры с подставкой (ШxВxГ)	1960x1450x280 мм
Вес с подставкой	104 кг
Дополнительная информация	Русифицированное меню есть Автопоиск каналов есть Родительский режим есть Электронный телегид есть Игровой режим есть HGIG режим есть, Таймер включения/выключения есть, Любимые каналы есть Режим Гостиница есть, Субтитры
Платформа Smart TV	webOS
Поддержка CI+/PCMCIA	есть, (CI+ 1.4)
Технология экрана	HDR, OLED
Функции звука	Настройка звука одним касанием
Разъемы и интерфейсы	Ethernet - RJ-45, RS-232, USB Type-A x 3, вход HDMI x 4, выход аудио оптический, слот CI/CI+
Поддержка цифрового ТВ	DVB-T2CS2
Новые ТВ работают под управлением WebOS 22, которая, помимо прочего, даёт возможность настраивать персональные профили. В компании рассказали, что в каждом профиле пользователи могут настроить быстрый доступ к своим любимым сервисам, получить индивидуальные рекомендации по контенту на основе истории просмотров и видеть оповещения в режиме реального времени. Вход в профили может быть выполнен либо из браузера ТВ, либо со смартфона с NFC Magic Tap.LG OLED предлагают время отклика в 1 мс, порты HDMI 2.1, функцию VRR и частоту обновления 120 Гц. Есть и поддержка G-SYNC Compatible и FreeSync Premium, а также сервисов GeForce NOW и Google Stadia.Самоподсвечивающиеся пиксели обеспечивают непревзойденное качество изображения и целый ряд возможностей для дизайна, в то время как новейшие передовые технологии заставляют восхищаться. Всё, что вы любите в телевизоре. Во всех смыслах.
