Тип	напольная
Рекомендуемая мощность усилителя	200 Вт (RMS)
ВЧ-излучатель	1 х 25 мм
Регулировка частоты кроссовера	1500 Гц, 12 дБ / окт
Чувствительность	92 дБ / Вт / м
Частота разделения полос	35 Гц – 20 кГц
СЧ/НЧ-излучатель	2 х 152 мм
Фазоинвертор	есть
Количество полос	2
Размеры (ШхВхГ)	21,5 х 34 х 100 см
Вес	20 кг
Компания Zingali представляет акустическая система Zingali Zero Sei. Основные характеристики: назначение домашняя, установка напольная, а также тип пасcивная и кол-во каналов комплект 2.0.
