Тип	ЖК-телевизор, QLED
Диагональ	65 дюйм(165,1см)
Формат экрана	16:9
Разрешение	3840x2160 ppi
Разрешение HD	4K UHD
Стандарт HDR	HDR10, Dolby Vision
Экосистема	Apple HomeKit
Частота обновления	100 Гц
Операционная система	Android TV
Год создания модели	2022
Угол обзора	178°
Мощность звука	50 Вт (5x10 Вт)
Сабвуфер	есть
Объемное звучание	есть
Поддержка Wi-Fi	есть
Встроенная память	16 Гб
Запись видео	на USB-накопитель
Управление	управление голосом Google Assistant
Потребляемая мощность	362 Вт
Поддержка AirPlay	есть
Bluetooth адаптер	есть
Размеры без подставки (ШxВxГ)	1448x836x53 мм
Вес без подставки	23 кг
Размеры с подставкой (ШxВxГ)	1448x862x330 мм
Вес с подставкой	24.6 кг
Стандарт крепления VESA	300х300 мм
Технология экрана	HDR, OLED, Triluminos
Разъемы и интерфейсы	Ethernet - RJ-45, USB Type-A x 2, вход HDMI x 4, композитный видеовход, слот CI/CI+
Поддержка мультимедиа	AVI, FLAC, HEVC (H.265), MKV, MP3, MP4, MPEG4, VP9, WMA, XviD
Поддержка цифрового ТВ	DVB-C, DVB-S, DVB-S2, DVB-T, DVB-T2
Отличная контрастность, яркость и объемный звук OLED Благодаря OLED-панели с функцией XR OLED Contrast Pro телевизор усиливает цвет и контрастность в ярких областях для повышения насыщенности черного и пиковой яркости. Процессор Cognitive Processor XR™ улучшает изображение согласно тому, как человеческий глаз воспринимает цвет и глубину, поэтому Вы не упустите ни одной детали в ярком свете или глубокой тени.
