Тип	ЖК-телевизор, QLED
Диагональ	75 дюймов (191 см)
Формат экрана	16:9
Разрешение	3840x2160 ppi
Разрешение HD	4K (Ultra HD)
Стандарт HDR	HDR10 , HLG (Hybrid Log Gamma) Dolby Vision
Светодиодная (LED) подсветка	mini-LED
Доступ в интернет (Smart TV)	есть
Операционная система	Android
Год создания модели	2022
Угол обзора	сверхширокий угол обзора
Поддержка стереозвука NICAM	есть
Мощность звука	50 Вт (5x10 Вт)
Сабвуфер	есть
Объемное звучание	XR Sound Position
Декодер Dolby Digital	Dolby Digital, Dolby Atmos
Версия интерфейса HDMI	HDMI - ARC / поддержка обратной звуковой совместимости есть
Поддержка Wi-Fi	Встроенный Wi-Fi
Поддержка DLNA	есть
Поддержка телевизионных стандартов	PAL, SECAM
Входы	Вход для антенны (RF)
Выходы	Цифровой аудиовыход (оптический)
Слот для CI/PCMCIA	есть
Контрастность	XR Contrast
Особенности	Цветопередача XR Colour,Процессор обработки изображений Cognitive Processor XR Количество ядер процессора XR Motion Clarity Расширенный динамический диапазон (HDR) есть, Режим Fimmaker Mode
Управление	Управление ТВ с помощью смартфона
Тип матрицы	VA
Потребляемая мощность	Потребляемая мощность в режиме ожидания 0.5 Вт
Антибликовое покрытие	есть
Поддержка AirPlay	AirPlay 2
Bluetooth адаптер	Поддержка передачи звука через Bluetooth, Bluetooth Low Energy
Размеры без подставки (ШxВxГ)	1667x961x61 мм
Вес без подставки	36,8 кг
Размеры с подставкой (ШxВxГ)	1667x974x390 мм
Дополнительная информация	Автопоиск каналов есть, Субтитры, Электронный телегид есть Игровой режим есть HGIG режим есть Таймер включения/выключения есть есть Любимые каналы есть, Настольная подставка есть Настенное крепление нет, доп.опция Пульт ДУ есть Батарейки (для пульта ДУ) есть Кабель питания есть Документация есть
Стандарт крепления VESA	300 x 300 мм
Разъемы и интерфейсы	Разъем HDMI 4 шт (2 x 2.1, 2 x 2.0) HDMI CEC есть Разъем USB 3 шт Ethernet (LAN) есть
Поддержка мультимедиа	MKV, MPEG4, WMA, DivX, MP3, HEVC,JPEG
Поддержка цифрового ТВ	DVB-T2, DVB-C, DVB-S2
Подсветка mini-LED управляется системой «XR Backlight Master Drive». Sony заявила, что она оптимизировала эту технологию, чтобы уменьшить цветение, сохраняя при этом контрастность и высокую пиковую яркость.Великолепные изображения под любым углом с минимумом отблесков. Наш инновационный процессор выполняет перекрестный анализ аналогично тому, как анализирует информацию человек, для мгновенной оптимизации сотен тысяч элементов. В сочетании с панелью Full Array LED эта технология обеспечивает контрастное и реалистичное изображение.Благодаря передовым динамикам и Cognitive Processor XR звук из любого источника будет невероятно объемным. Наслаждайтесь более четким звучанием во время просмотра любого контента. Получите новые ощущения от развлечений благодаря целостности звука и картинки.Узнайте больше об оттенках, которые естественны и приятны для человека. Cognitive Processor XR позволяет этому дисплею получить доступ к палитре цветов и воспроизводить оттенки с тонкими отличиями, наблюдаемыми в реальном мире. Благодаря расширенному представлению оттенков и более высокой насыщенности даже бледные цвета выглядят реалистично.Исключительная контрастность, как в реальной жизни. Cognitive Processor XR анализирует данные, улучшая изображение согласно тому, как человеческий глаз воспринимает цвет и глубину. С XR Contrast Booster яркие области станут еще ярче, а темные — темнее. Ни одна деталь не будет потеряна на темном или светлом участке изображения. Просмотр спортивных трансляций и динамичных фильмов стал намного приятнее. Процессор Cognitive Processor XR с технологией XR Motion Clarity™ выполняет перекрестный анализ данных, обеспечивая плавное, яркое и четкое изображение без размытия.
