Тип	проекционный телевизор
Диагональ	120" (305 см)
Формат экрана	16:9
Разрешение	3840x2160
Разрешение HD	4K UHD
Стандарт HDR	Да (HDR10, HLG, Dolby Vision,4K HDR процессор X1™
Стереозвук	есть
Доступ в интернет (Smart TV)	есть
Автоматическое выравнивание громкости (AVL)	есть
Операционная система	VIDAA U OS
Год создания модели	2020
Поддержка DVB-T	DVB-T MPEG4
Поддержка DVB-T2	есть
Поддержка DVB-C	DVB-C MPEG4
Поддержка DVB-S2	есть
Поддержка DVB-S	есть
Акустическая система	два динамика
Объемное звучание	есть
Декодер Dolby Digital	Dolby Digital
Версия интерфейса HDMI	1.4, 2.2
Поддержка DLNA	есть
Таймер сна	есть
Защита от детей	есть
Входы	3.5, hdmi, usb-a, rca, rj45, vga
Выходы	optical, hdmi
Контрастность	2000:1
Поддерживаемые форматы	MP3, WMA, MPEG4, HEVC (H.265), MKV, JPEG
Высота	1534 мм
Ширина	2697 мм
Глубина	35 мм
Вес	22500 г
Платформа Smart TV	VIDAA
Премиальный лазерный телевизор Hisense 5-го поколения был отмечен наградой “Best of Show” на профильной выставке Projection Expo 2021 не зря – он реально способен полностью погрузить в мир проекции ультра-чёткого разрешения 4K UHD.Передовые технологии DLP® от Texas Instruments и лазерный источник X-Fusion гарантируют яркую картинку и высокую детализацию, которые обычно доступны только в больших кинотеатрах. Зрители смогут насладиться ещё более естественной цветопередачей, которая придаст новые краски Вашим любимым фильмам.Функционал Smart-TV на базе собственной операционной системы Vidaa, которая в разы быстрее Android TV и без подрывов и задержек отрабатывает даже тяжеловесный контент, обеспечивая живое и реалистичное изображение даже в динамичных сценах. Проекция осуществляется на большом ALR-экране с диагональю 120”, а звук формируется посредством новейших стандартов объёмного звучания и встроенных динамиков с технологией новейшего поколения dbx-tv®. Довершает картину интегрированный вэб-браузер, ТВ-тюнер и широкий набор предустановленных приложений: Netflix, YouTube, Ivi, Okko, MeGoGo, 1й канал, Матч-ТВ, TVZavr и др.
