Тип	ЖК-телевизор
Диагональ	85 дюймов (216 см)
Формат экрана	16:9
Разрешение	7680 x 4320
Стандарт HDR	HDR10, Dolby Vision
Частота обновления	120 Гц
Светодиодная (LED) подсветка	FALD
Автоматическое выравнивание громкости (AVL)	есть
Операционная система	Android TV 10
Год создания модели	2021
Угол обзора	178°
Прогрессивная развертка	есть
Поддержка стереозвука NICAM	есть
Поддержка DVB-T	DVB-T MPEG4
Поддержка DVB-T2	есть
Поддержка DVB-C	DVB-C MPEG4
Поддержка DVB-S2	есть
Поддержка DVB-S	есть
Телетекст	есть
Сабвуфер	есть
Запись видео	Да, 1Rec
Картинка в картинке	есть
Потребляемая мощность	412 Вт
Антибликовое покрытие	глянцевое (антибликовое)
Высота	1937 мм
Ширина	1123 мм
Глубина	484 мм
Вес	61,7 кг
Дополнительная информация	AirPlay 2 Wi-Fi запись телепередач Miracast Chromecast поддержка DLNA управление голосом Google Assistant
XR Picture. Наслаждайтесь глубоким, естественным и реалистичным изображением в формате 8K. Наш революционный процессор опирается на зрительное восприятие человека, выполняя комплексный анализ и мгновенно оптимизируя сотни тысяч элементов. А благодаря отзывчивой полноматричной подсветке изображение с экрана становится очень ярким и отличается насыщенным черным цветом.XR Colour. Узнайте больше об оттенках, которые естественны и приятны для человека. Cognitive Processor XR позволяет этому дисплею получить доступ к палитре цветов и воспроизводить оттенки с тонкими отличиями, наблюдаемыми в реальном мире. Благодаря расширенному представлению оттенков и более высокой насыщенности даже бледные цвета выглядят реалистично.XR Triluminos Pro. Цвета на экране этого телевизора, оснащенного нашим когнитивным процессором XR, получаются невероятно красивыми. Количество оттенков и их насыщенность увеличены, благодаря чему вы видите естественные тона и малейшие детали даже в темных участках.XR Contrast. По-настоящему реалистичная контрастность. Cognitive Processor XR комплексно анализирует данные, улучшая цветопередачу и глубину изображения. Благодаря технологии XR Contrast Booster яркие области экрана становятся ярче, а темные — темнее, что обеспечивает выравнивание качества и детализации участков изображения с пересветом и недосветом.XR Contrast Booster 15. Благодаря установке точного баланса светоотдачи по всему экрану и затемнению определенных его частей функция XR Contrast Booster позволяет избежать появления отблесков на экране при ярком освещении и передать насыщенные тона в темном помещении. Яркие области экрана становятся ярче, а темные — темнее, благодаря чему изображение выглядит более реалистично и отличается большей глубиной и детализацией.XR HDR Remaster. Благодаря функции XR HDR Remaster телевизор может распознавать все объекты на экране, анализировать их цвет и регулировать контрастность для достижения еще более реалистичного изображения. Обработка объектов с помощью технологии BRAVIA XR™ отличается невероятной эффективностью за счет возможности настройки оттенка, насыщенности, яркости, вектора движения, полосы пропускания и т. д. Это позволяет добиться невероятного качества изображения с большей глубиной, правдоподобными текстурами и естественными цветами.Четкость XR. Функция повышения разрешения XR 8K Upscaling позволит насладиться качеством изображения, близким к разрешению 8K, при просмотре любого контента с любого источника Cognitive Processor XR обрабатывает огромное количество данных, интеллектуально воссоздавая недостающие текстуры и детали для создания реалистичных изображений. Вы сможете разглядеть даже отдельные перья и резко очерченные когти.8K XR Super Resolution. Технология XR Super Resolution выявляет отдельные объекты на изображении и воспроизводит на экране практически реальные текстуры. Наш процессор BRAVIA XR точно анализирует и обрабатывает данные, чтобы придать изображению насыщенность, богатство текстуры и детализацию, превращая изображение из 4K в 8K, которое в четыре раза выше.8K XR Smoothing. Функция XR Smoothing создает плавное реалистичное изображение в формате 8K и предотвращает сегментирование картинки, что не всегда удается другим телевизорам. На экране отображаются тысячи тонов, оттенков и градаций, что делает картинку невероятно реалистичной.XR Motion. Просмотр спортивных трансляций и динамичных фильмов стал намного приятнее. Cognitive Processor XR с технологией XR Motion Clarity™ выполняет перекрестный анализ данных, обеспечивая плавное, яркое и четкое изображение.XR Motion Clarity. На некоторых экранах спортивные соревнования и другие динамичные сцены могут казаться размытыми. Наша новейшая технология LED XR X-Motion Clarity™ обеспечивает плавное, яркое и четкое изображение. Каждый момент отслеживается отдельно, его продолжительность оптимизируется, а яркость объекта при необходимости увеличивается, поэтому вы ничего не пропустите.X-Anti Reflection. Иногда из-за отражений на экране бывает трудно смотреть темные фильмы в ярко освещенной комнате.Технология X-Anti Reflection снижает интенсивность бликов от солнца и ламп, поэтому вы сможете сполна насладиться насыщенным черным цветом и четкостью картинки.
