Класс устройства	Стационарный
Тип устройства	DLP
Рекомендуемая область применения	для офиса
Реальное разрешение	1920x1200
Широкоформатный	да
Входы	VGA x2, HDMI x2, S-Video, композитный, компонентный, аудио mini jack
Поддержка HDTV	есть
Выходы	VGA, аудио mini jack
Проекционное расстояние	1.3 - 7.8 м
Размеры по диагонали	от 0.8 до 7.67 м
Отношение расстояния к размеру изображения	1.2:1 - 1.92:1
Масштабирование оптическое	1.6 x
Фокусное расстояние	11.66 мм
Световой поток	6300 люмен
Коррекция трапецеидальных искажений	есть (вертикальная/горизонтальная)
Поддерживаемые системы вещания	PAL, SECAM, NTSC
Контрастность	300000:1
Поддерживаемые форматы входного сигнала	480i, 480p, 576i, 576p, 720p, 1080i, 1080p, 2160p
Поддержка 3D	есть
Версия HDMI	HDMI 2.0
Коммуникации	Ethernet
Встроенные громкоговорители	2 x 19 Вт
Уровень шума	32 дБ
Интерфейсы	USB (тип A), RS-232
Цвет	белый
Поддержка HDR	HDR10
Размеры (ШxВxГ)	374x117x302 мм
Дополнительная информация	интерфейс HDBaseT, поддержка MHL
Частота строк	15 - 91 кГц
Частота кадров	24 - 120 Гц
