Тип	AV-ресивер
Входы	HDMI 7, Ethernet (RJ-45) 1, Коаксиальных аудиовходов 2,оптических аудиовходов 3,линейных входов RCA 5
Выходы	HDMI 3, Выходов на сабвуфер 2, Выход предусилителя да, Линейных выходов RCA стерео,Оптических аудиовыходов 1
Поддержка 3D	есть
Dolby TrueHD	нет
Разрядность аудио ЦАП	32 бит
Dolby Atmos	есть
AirPlay:	есть
Wi-Fi	есть
Bluetooth	есть
Цвет	черный
Страна (главный офис)	Канада
Размеры (ШхВхГ)	432 мм х 166 мм х 382
Гарантия	1 год
Управление в составе умного дома	RS232 / IR / Triger
AV-ресивер Anthem MRX 740 в конфигурации, 11.2. По свидетельству Anthem, ресивер собран на новой электронной платформе, поддерживает последнюю версию коррекции акустики помещения ARC Genesis Room и дополнен модернизированным микрофоном с повышенной точностью калибровки. Ресивер MRX 740 получил по семь входов и два выхода HDMI 2.0b с поддержкой HDCP 2.2 и eARC. Предусмотрено аппаратное обновление видеосекции до HDMI 2.1 (8K). В базовой версии заявлена поддержка Ultra HD с Dolby Vision, HDR или Hybrid Log Gamma. Ресивер обеспечен 7 каналами усиления. Заявлена поддержка аудио Dolby Atmos, DTS:X и IMAX Enhanced. За обработку аудиосигнала отвечает многоядерная платформа DSP нового поколения. Ресивер работает с AirPlay 2, Google Chromecast и Bluetooth v4.2. В ближайшем будущем станут доступны Spotify Connect и Roon. Ресивер Anthem MRX 740 поддерживает новую сетевую платформу управления с настройкой через Интернет и обновлениями по беспроводной сети. Пользовательский интерфейс Anthem Web дополнен дисплеем высокого разрешения на передней панели.
