Тип	усилитель мощности
Входы	линейный x1, балансный x1, PreAmp
Схемотехника	Полностью балансная
Воспроизводимый диапазон частот	20 - 20000 Гц
Количество каналов	2
Блок питания	встроенный
Отношение сигнал/шум	116 дБ
Позолоченные разъемы	есть
Коэффициент демпфирования	600
Потребляемая мощность	410 Ватт
Коэффициент интермодуляционных искажений	0.01 %
Усилитель класса А	есть
Тип трансформатора	тороидальный
Коэффициент гармоник	0,01 %
Мостовой режим	переключатель установлен на задней панели
Материал корпуса	алюминий
Размеры (ШхВхГ)	465 х 211 х 464 мм
Гарантия	1 год
Вес	32,1 кг
Дополнительная информация	Автоматическая, от постоянного тока, перегрузки, и короткого замыкания.
Выходная мощность, Вт	2 х 45 Ватт при 8 Ом, 2 х 90 Ватт при 4 Ом, 2 x 180 ватт при 2 Ом, 2 х 360 при 1 Оме.
Разъемы для акустики	винтовые
Усилитель мощности Accuphase A 48 построен по полностью балансной схеме.Он имеет ультранизкий показатель шума и просто выдающееся соотношение сигнал/шум.Передняя панель сделана из анодированного алюминия толщиной 8 мм.Внутри корпуса установлены массивные радиаторы обеспечивающие эффективное рассеивание тепла от транзисторов работающих в чистом классе "А".Это позволяет работать им значительно точнее и сохранять свои параметры.Внутри этого усилителя применены платы покрытые медью и золотом.В А 48 применена технология MCS+ и обратная связь по току, которые обеспечивают превосходное, чистое и прозрачное звучание.Массивный тороидальный экранированный трансформатор с двумя независемыми обмотками и два массивных конденсатора ёмкостью по 56000 мкф обеспечивают все цепи усилителя мощности чистым питанием.В каждом канале установлены 6 пар полевых транзисторов которые работают в двухтактном режиме и чистом классе "А"обеспечивают 45 ватт мощности при 8 ом в стереорежиме, и 180 ватт мощности в мостовом включении А 48.
