Тип	цифро-аналоговый преобразователь
ЦАП	Burr-Brown PCM1792A
Входы	AES/EBU, RCA S/PDIF, Toslink, 2 x USB
Выходы	RCA / XLR
Разрядность	24 бит
Частота дискретизации	192 кГц
Количество каналов	2
Диапазон воспроизводимых частот	20 - 20000 Гц
Пульт ДУ	в комплекте
Потребляемая мощность	70 Вт
Тип лампы:	12AX7
Выходной импеданс	300 Ом
Страна (главный офис)	США
Размеры (ШхВхГ)	457 мм х 121 мм х 457 мм
Гарантия	1 год
Вес	13,6 кг
Первый цифро-аналоговый процессор Aesthetix модульной архитектуры. Наряду со стандартными цифровыми входами оснащен двумя портами USB, совместимыми с форматами 24 / 96 и 24 / 192. Передача данных по USB осуществляется в асинхронном режиме, благодаря чему джиттер уменьшается боле чем в 100 раз по сравнению с традиционным способом (асинхронный трансфер запатентован Гордоном Ранкиным, Wavelength Technologies). Цифровой фильтр реализован на DSP-процессоре Motorola DSP56362, цифро-аналоговое преобразование осуществляется чипами Burr-Brown PCM1792. Аналоговый выходной буфер собран на дифференциальных ламповых каскадах. Общая отрицательная обратная связь отсутствует. Аппарат оснащен как небалансными, так и балансными аналоговыми выходами. Критичные к наводкам электрические узлы защищены экранами из нержавеющей стали. Блок питания, содержащий отдельные трансформаторы для аналоговой и цифровой частей, также экранирован. В качестве опции доступен ступенчатый регулятор громкости. Шасси полностью выполнено из алюминия. ЦАП комплектуется полнофункциональным пультом ДУ, управление возможно также через имеющийся интерфейс RS-232, а дистанционное включение и выключение – через триггерный вход 12 В
